Place,#Physicians,Population,PhysiciansPer100k
AL,15947,4863300,328
AK,4049,741894,546
AZ,25344,6931071,366
AR,9967,2988248,334
CA,149283,39250017,380
CO,21897,5540545,395
CT,17414,3576452,487
DE,5269,952065,553
FL,74012,20612439,359
GA,35951,10310371,349
HI,9464,1428557,662
ID,5969,1683140,355
IL,49513,12801539,387
IN,28251,6633053,426
IA,11931,3134693,381
KS,9566,2907289,329
KY,18526,4436974,418
LA,16894,4681666,361
ME,6779,1331479,509
MD,30188,6016447,502
MA,34847,6811779,512
MI,47284,9928300,476
MN,23494,5519952,426
MS,10249,2988726,343
MO,25763,6093000,423
MT,5244,1042520,503
NE,9316,1907116,488
NV,8861,2940058,301
NH,7262,1334795,544
NJ,37181,8944469,416
NM,9235,2081015,444
NY,93951,19745289,476
NC,38716,10146788,382
ND,3895,757952,514
OH,46631,11614373,401
OK,13141,3923561,335
OR,15165,4093465,370
PA,56337,12784227,441
RI,5432,1056426,514
SC,18999,4961119,383
SD,3806,865454,440
TN,23039,6651194,346
TX,77894,27862596,280
UT,10751,3051217,352
VT,3540,624594,567
VA,37820,8411808,450
WA,28747,7288000,394
WV,7943,1831102,434
WI,26755,5778708,463
WY,3775,585501,645
